state,population,growth_2001_2011,population_rural,population_urban,area,sex_ratio
Uttar Pradesh,207281477,20.1,155111022,44470455,240928,908.0
Maharashtra,112372972,16.0,61545441,50827531,307713,946.0
Bihar,103804637,25.1,92075028,11729609,94163,916.0
West Bengal,91347736,13.9,62213676,29134060,88752,947.0
Madhya Pradesh,72597565,20.3,52537899,20059666,308245,931.0
Tamil Nadu,72138958,15.6,37189229,34949729,130058,995.0
Rajasthan,68621012,21.4,51540236,17080776,342239,926.0
Karnataka,61130704,15.7,37552529,23578175,191791,968.0
Gujarat,60383628,19.2,34670817,25712811,196024,918.0
Andhra Pradesh,49386799,11.1,34776389,14610410,162968,993.0
Odisha,41947358,14.0,34951234,6996124,155707,978.0
Telangana,35286757,17.87,21585313,13608665,114840,988.0
Kerala,33387677,4.9,17445506,15932171,38863,
Jharkhand,32966238,22.3,25036946,7929292,79714,947.0
Assam,31169272,16.9,26780526,4388756,78438,954.0
Punjab,27704236,13.7,17316800,10387436,50362,893.0
Chhattisgarh,25540196,22.6,19603658,5936538,135191,991.0
Haryana,25353081,19.9,16531493,8821588,44212,877.0
Jammu & Kashmir,12548926,23.7,9134820,3414106,222236,883.0
Uttarakhand,10116752,19.2,7025583,3091169,53483,963.0
Himachal Pradesh,6864602,12.8,6167805,688704,55673,974.0
Tripura,3671032,14.7,2710051,960981,10486,961.0
Meghalaya,2964007,27.8,2368971,595036,22429,986.0
Manipur,2721756,18.7,1899624,822132,22327,987.0
Nagaland,1980602,-0.5,1406861,573741,16579,931.0
Goa,1457723,8.2,551414,906309,3702,968.0
Arunanchal Pradesh,1382611,25.9,1069165,313446,83743,920.0
Mizoram,1091014,22.8,529037,561997,21081,975.0
Sikkim,607688,12.4,455962,151726,7096,889.0
NCT of Delhi,18980000,21.0,419319,16333916,1484,866.0
Puducherry,1244464,27.7,394341,850123,479,
Chandigarh,1055450,17.1,29004,1025682,114,818.0
Andaman & Nicobar Island,379944,6.7,244411,135533,8249,878.0
Dadara & Nagar Haveli,342853,55.5,183024,159829,491,775.0
Daman & Diu,242911,53.5,60331,182580,112,618.0
Lakshadweep,64429,6.2,14121,50308,32,946.0
